"F = 0.0001; Nimp = 3; Range: [1.0, 40.0]"
x y
1.0 0.0029067444514
1.39 0.000709930846256
1.78 0.000295970509802
2.17 0.000183620526936
2.56 0.000154262561549
2.95 0.000163815955824
3.34 0.000208580648992
3.73 0.000305326506058
4.12 0.000496471504125
4.51 0.000871326834037
4.9 0.0016107235485
5.29 0.00307112086966
5.68 0.00593066693238
6.07 0.0114170327566
6.46 0.0216092723079
6.85 0.0397328369653
7.24 0.0702434685419
7.63 0.118373811021
8.02 0.188835922733
8.41 0.283708169492
8.8 0.400200735437
9.19 0.529618037224
9.58 0.658737749009
9.97 0.773622575822
10.36 0.86418381154
10.75 0.92703758397
11.14 0.965221066948
11.53 0.98541188952
11.92 0.994656052366
12.31 0.998302151146
12.7 0.999535115987
